;   AIRLINES.TXT   18 JUL 23

AAH ALOHA
AAL AMERICAN
AAR ASIANA
AAY ALLEGIANT
AB  AIR_BRAVO
ABB AIR_BELGIUM
ABD ATLANTA
ABX ABEX
ACA AIR_CANADA
ACO WEBER
ACW ACRO_JETS
AEA EUROPA
AER ACE_AIR
AFR AIR_FRANCE
AHO AIR_HAMBURG
AIC AIR_INDIA
AIJ ABC_AEROLINEAS
AIP ALPINE_AIR
AJI AMERISTAR
AJT AMERIJET
AKN ALCAN
AMF AMFLIGHT
AMX AEROMEXICO
ANA ALL_NIPPON
ANT AIR_NORTH
ANZ NEW_ZEALAND
APC AIRPAC
APZ AIR_PREMIA
ARCAT AIRCAT
ARE LAN_COLUMBIA
ARF ANIMAL_RESCUE
ARG ARGENTINA
ARU ARUBA
ASA ALASKA
ASH AIR_SHUTTLE 5601 6399
ASI AEROSUN
ASL AIR_SERBIA
ASP AIRSPRINT
; not operating 2022 ASQ ACEY 7001 7099
ASY AUSSIE
ATN AIR_TRANSPORT
AUA AUSTRIAN
AVA AVIANCA
AVL SKY_VENTURES
AWC ZAP
AWI WISCONSIN 3701 4099
; out of business 2021  AZA ALITALIA
AZG SILK_WEST
AZU AZUL
AZY AZTEC_WORLD

BAW SPEEDBIRD
BBA BOMBARDIER
BCS EUROTRANS
BEL BEELINE
BEZ SEA_BREEZE
BFF AIR_BAFFIN
BHS BAHAMAS
BKA BANKAIR
BKN BILLIKEN
BLS BEARSKIN
BLU BLUEGRASS
BMJ BEMIDJI
BOE BOEING
BOS MISTRAL
BOV BOLIVIANA
BOX GERMAN_CARGO
BPA BLUE_PANORAMA
BRG BEARING_AIR
BSK BISCAYNE
BTQ BOUTIQUE
BVN SHOW_ME
BWA CARIBBEAN
BXR BOXER
BYA BERRY

CAL DYNASTY
CAO AIR_CHINA_FREIGHT
CAY CAYMAN
CBJ CAPITAL_JET
; CBN S. Ill Univ Carbondale
CBN CARBON
CCA AIR_CHINA
CCQ CAP_CITY
CES CHINA_EASTERN
CEY CENTURY
CF  CF
CFG CONDOR
CFS EMPIRE
CG  CG
CHH HAINAN
CHR CHAIRMAN
CJT CARGO_JET
CKK CARGO_KING
CKS CONNIE
CLU FIREBIRD
CLX CARGOLUX
CMD CALSTAR_MED
CME COMMERCE_BANK
CMP COPA
CNK CHINOOK
CNS CHRONOS
COL COLONY
CON CONOCO
CONN CONNECTION
COO CORPORATE
CPA CATHAY
CPT AIR_SPUR
; CPZ COMPASS  shut down APR 2020
CRE CREAM_CITY
CRK BAUHINIA
CRL CORSAIR
CSB CARGO_SOUTH
CSC SICHUAN
CSG SOUTHERN_CARGO
CSJ CASTLE
CSN CHINA_SOUTHERN
CSQ CHASQUI
