;  SQUAWK.TXT   03 JAN 19

INT 13
EXT 10

;      I1  I2  I3  I4  I5 I6 I7 I8 I9 IA IB IC ID   E1  E2  E3  E4  E5  E6  E7  E8  E9  EA
                         
ZAB    42  43  55  --  -- -- -- -- -- -- -- -- --   07  26  15  16  30  31  35  56  60  70
ZAN    22  23  31  35  42 45 46 47 51 52 -- -- --   34  41  57  72  40  56  --  --  --  --
ZAU    43  53  47  55  -- -- -- -- -- -- -- -- --   13  31  62  65  35  56  72  05  22  --
ZBW    53  46  47  55  -- -- -- -- -- -- -- -- --   34  35  13  14  20  73  24  70  --  --
ZDC    46  53  47  55  -- -- -- -- -- -- -- -- --   05  21  24  36  56  70  13  62  65  35
ZDV    51  43  55  --  -- -- -- -- -- -- -- -- --   14  06  27  37  65  22  33  34  56  66
ZFW    51  52  45  53  -- -- -- -- -- -- -- -- --   05  22  23  34  36  62  06  30  32  70
ZHN    36  21  17  22  16 -- -- -- -- -- -- -- --   23  37  24  26  27  --  --  --  --  --
ZHU    45  46  42  47  52 51 -- -- -- -- -- -- --   24  25  27  40  72  73  74  66  67  --
ZID    42  45  55  --  -- -- -- -- -- -- -- -- --   40  66  67  14  34  37  73  26  27  30
ZJX    42  43  55  74  34 -- -- -- -- -- -- -- --   07  10  26  15  16  30  32  62  73  27
ZKC    46  47  52  --  -- -- -- -- -- -- -- -- --   11  17  21  25  57  20  33  60  71  74
ZLA    46  47  51  53  -- -- -- -- -- -- -- -- --   10  72  73  13  20  67  24  --  --  --
ZLC    43  42  52  53  -- -- -- -- -- -- -- -- --   60  05  31  40  07  22  23  25  41  56
ZMA    45  46  47  42  51 53 -- -- -- -- -- -- --   11  13  21  23  33  35  57  60  66  05
ZME    43  55  45  53  -- -- -- -- -- -- -- -- --   15  16  56  07  10  13  --  --  --  --
ZMP    42  45  46  52  -- -- -- -- -- -- -- -- --   24  26  36  16  30  70  15  33  67  --
ZNY    42  45  46  --  -- -- -- -- -- -- -- -- --   11  15  16  17  26  27  30  33  71  10
ZOA    42  45  43  55  70 -- -- -- -- -- -- -- --   32  33  17  36  37  63  06  22  30  74
ZOB    51  52  45  --  -- -- -- -- -- -- -- -- --   41  57  74  10  21  23  25  60  72  05
ZSE    46  47  51  52  -- -- -- -- -- -- -- -- --   35  66  15  16  06  26  34  74  --  --
ZSU    60  46  70  45  47 41 -- -- -- -- -- -- --   33  74  35  13  21  37  14  --  --  --
ZTL    51  52  26  47  53 -- -- -- -- -- -- -- --   20  25  31  71  11  17  22  33  35  41

; No 00 01 02 03 04 12 44 50 54 61 64 75 76 77
;      42  43  45  46  47 51 52 53 55 -- -- -- --   63  06  07  10  11  13  14  15  16  17
; (05) 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 40 41 56 57 60 62 (63) 65 66 67 70 71 72 73
